name;icon_name;id
Lumânări;candle-holder;1000
Altele;cart-circle-plus;9999
Cărți;books;1001
Miere;honey-pot;1002
Nera Ceramică;;1003
Nera Naturiste;;1004
Nera;;1005
Băuturi;;1006
Vin;wine-bottle;1007
Tămâie;;1008
Brățări;;1009
Mir;;1010
Icoane;;1100
Prescuri;;1200
Cărbune;;1011
Ulei;bottle-droplet;1012
Artizanat;;1013
Obiecte bisericești;;1014
